,productivity_score,productivity_score,focus,actual_duration_minutes
,mean,std,mean,mean
hour,,,,
5,59.79,24.27,3.25,64.62
6,61.42,25.77,3.22,61.62
7,60.2,26.49,3.16,64.55
8,62.77,25.65,3.2,57.58
9,62.94,24.96,3.24,57.06
10,61.15,25.74,3.18,63.38
11,58.16,26.31,3.06,55.15
12,51.67,26.35,2.96,54.19
13,53.32,26.71,3.07,58.25
14,53.71,24.03,3.06,57.85
15,52.51,24.77,3.06,52.84
16,51.3,26.36,2.89,58.56
17,52.97,23.3,3.21,59.89
18,53.6,20.22,3.04,61.26
19,56.77,20.35,3.19,57.76
20,53.97,21.52,3.08,64.61
21,55.64,24.69,3.27,71.31
22,54.99,17.71,3.1,50.63
23,51.83,25.23,3.03,59.38
