user_id,user_name,session_number,hour,time_slot,status,start_time,end_time,planned_duration,actual_duration,pause_count,total_break_mins,productivity_score,pre_mood,pre_energy,pre_motivation,pre_goal_difficulty,pre_session_type,pre_environment,pre_music_type,notification_count,distraction_taps,unlock_count,post_productivity,post_focus,post_satisfaction,post_distraction
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,2,22,night,COMPLETED,2025-10-07 22:05:43.777682,2025-10-08 00:04:43.777682,120,119,0,6,63.83,3,2,3,2,WRITING,MUSIC,CLASSICAL,0,0,0,2,3,2,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,3,18,evening,COMPLETED,2025-10-08 18:32:43.777682,2025-10-08 19:12:43.777682,60,40,0,7,68.83,5,2,4,2,TEST,MUSIC,AMBIENT,2,4,0,3,4,3,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,5,7,morning,COMPLETED,2025-10-09 07:41:43.777682,2025-10-09 08:03:43.777682,45,22,1,8,58.17,5,3,3,2,WRITING,MUSIC,AMBIENT,2,1,2,3,3,3,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,7,5,morning,COMPLETED,2025-10-11 05:59:43.777682,2025-10-11 07:10:43.777682,90,71,1,0,67.94,2,3,3,1,READING,MUSIC,LOFI,2,3,0,3,3,3,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,8,17,evening,COMPLETED,2025-10-11 17:12:43.777682,2025-10-11 17:39:43.777682,25,27,0,7,75.9,2,2,4,3,WRITING,QUIET,,1,2,0,3,4,3,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,9,19,evening,COMPLETED,2025-10-12 19:50:43.777682,2025-10-12 21:07:43.777682,60,77,1,0,61.17,2,1,4,1,OTHER,QUIET,,1,3,0,2,4,2,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,10,23,night,COMPLETED,2025-10-12 23:53:43.777682,2025-10-13 00:48:43.777682,45,55,1,7,60.22,3,1,4,2,TEST,MUSIC,OTHER,2,0,0,2,4,2,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,11,17,evening,COMPLETED,2025-10-12 17:32:43.777682,2025-10-12 19:10:43.777682,90,98,1,5,85.22,2,4,5,1,READING,QUIET,,1,2,0,4,4,4,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,12,23,night,COMPLETED,2025-10-13 23:51:43.777682,2025-10-14 01:43:43.777682,90,112,0,3,72.61,2,2,4,3,WRITING,MUSIC,OTHER,1,3,2,3,4,3,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,13,21,night,COMPLETED,2025-10-13 21:25:43.777682,2025-10-13 23:21:43.777682,120,116,1,2,58.83,2,2,3,3,WRITING,QUIET,,1,4,1,2,3,2,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,14,16,afternoon,COMPLETED,2025-10-13 16:28:43.777682,2025-10-13 16:59:43.777682,45,31,1,3,64.44,2,2,5,5,READING,MUSIC,AMBIENT,2,2,1,3,4,2,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,16,20,evening,COMPLETED,2025-10-14 20:49:43.777682,2025-10-14 21:37:43.777682,45,48,2,4,54.0,2,1,4,4,OTHER,QUIET,,1,5,1,2,4,1,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,17,21,night,COMPLETED,2025-10-15 21:47:43.777682,2025-10-15 22:44:43.777682,60,57,2,2,59.67,2,1,4,2,OTHER,MUSIC,CLASSICAL,2,5,1,2,4,2,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,19,23,night,COMPLETED,2025-10-16 23:19:43.777682,2025-10-17 02:06:43.777682,120,167,1,1,68.83,3,2,5,2,WRITING,QUIET,,2,3,0,3,4,3,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,20,6,morning,COMPLETED,2025-10-17 06:38:43.777682,2025-10-17 07:18:43.777682,45,40,1,7,68.44,3,5,2,1,WRITING,NOISY,,1,1,0,3,3,3,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,21,18,evening,COMPLETED,2025-10-17 18:44:43.777682,2025-10-17 19:34:43.777682,90,50,1,1,79.44,3,3,5,3,READING,MUSIC,AMBIENT,4,0,0,4,4,4,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,22,13,afternoon,COMPLETED,2025-10-17 13:42:43.777682,2025-10-17 14:31:43.777682,60,49,3,8,62.83,3,3,3,3,TEST,QUIET,,0,0,0,3,3,3,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,24,20,evening,COMPLETED,2025-10-18 20:09:43.777682,2025-10-18 21:01:43.777682,45,52,0,10,58.22,3,3,3,4,READING,NOISY,,6,2,2,3,3,2,FEW
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,25,21,night,COMPLETED,2025-10-19 21:20:43.777682,2025-10-19 21:56:43.777682,25,36,1,11,62.2,3,2,4,1,TEST,NOISY,,2,2,2,3,4,3,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,26,7,morning,COMPLETED,2025-10-20 07:18:43.777682,2025-10-20 09:04:43.777682,90,106,2,5,73.94,3,5,3,3,TEST,QUIET,,2,4,0,4,3,4,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,29,12,afternoon,COMPLETED,2025-10-25 12:56:43.777682,2025-10-25 13:17:43.777682,25,21,0,5,73.3,3,2,4,2,WRITING,NOISY,,2,3,1,3,4,3,NONE
cd308c56-e6ad-447e-a9cc-94119fd2725c,Night Owl 1,30,19,evening,COMPLETED,2025-10-26 19:24:43.777682,2025-10-26 20:32:43.777682,60,68,2,7,79.5,4,3,5,3,READING,QUIET,,4,1,0,4,4,4,NONE
